id,name,category_name,group_name,weekly_average_price,icon_id,date_created,date_updated,icon_url,icon_downloaded,needs_history_update
64504000021,Integrated Heavy Salvage Drone Blueprint,Drone Blueprints,Salvage Drone Blueprints,4924055557.90,14505000000,2023-07-12T14:22:29+00:00,2025-06-04T11:23:36+00:00,https://echoes.mobi/public/icons/14505000000.png,True,True
14000020021,Integrated Hobgoblin,Drones,All Combat Drones,441094325.79,14000000013,2023-10-14T22:10:37+00:00,2025-06-04T11:20:35+00:00,https://echoes.mobi/public/icons/14000000013.png,True,True
64000020021,Integrated Hobgoblin Blueprint,Drone Blueprints,Combat Drone Blueprint,57733987.29,14000000013,2023-08-09T11:32:51+00:00,2025-06-04T11:23:26+00:00,https://echoes.mobi/public/icons/14000000013.png,True,True
14000010021,Integrated Hornet,Drones,All Combat Drones,335651996.23,14000000007,2023-10-14T22:09:54+00:00,2025-06-04T11:20:34+00:00,https://echoes.mobi/public/icons/14000000007.png,True,True
64000010021,Integrated Hornet Blueprint,Drone Blueprints,Combat Drone Blueprint,19250000.00,14000000007,2023-08-09T11:32:50+00:00,2025-06-04T11:23:25+00:00,https://echoes.mobi/public/icons/14000000007.png,True,True
14600240021,Integrated Hot Steel,Drones,Light Fighter,4159999998.68,14600240013,2024-07-26T17:04:35+00:00,2025-06-04T11:20:49+00:00,https://echoes.mobi/public/icons/14600240013.png,True,True
64600240021,Integrated Hot Steel Blueprint,Drone Blueprints,Light Fighter Blueprint,1040000000.00,14600240013,2024-07-26T17:04:29+00:00,2025-06-04T11:23:42+00:00,https://echoes.mobi/public/icons/14600240013.png,True,True
41400000013,Integrated Hull Modification Device,Materials,Salvaged Materials,25742363.72,200030111,2023-07-12T14:22:29+00:00,2025-06-04T11:22:00+00:00,https://echoes.mobi/public/icons/200030111.png,True,True
14000340021,Integrated Hurricane,Drones,All Combat Drones,2677777777.78,14000340012,2024-07-26T17:04:39+00:00,2025-06-04T11:20:43+00:00,https://echoes.mobi/public/icons/14000340012.png,True,True
64000340021,Integrated Hurricane Blueprint,Drone Blueprints,Combat Drone Blueprint,885714285.57,14000340012,2024-07-26T17:04:33+00:00,2025-06-04T11:23:33+00:00,https://echoes.mobi/public/icons/14000340012.png,True,True
14000100021,Integrated Infiltrator,Drones,All Combat Drones,894999999.00,14000100002,2023-10-14T22:18:00+00:00,2025-06-04T11:20:36+00:00,https://echoes.mobi/public/icons/14000100002.png,True,True
